CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
134       0.0235  server                   server                   tbb::strict_ppl::internal::micro_queue<queue_task>::copy_item(tbb::strict_ppl::internal::concurrent_queue_rep_base::page&, unsigned long, void const*, void (*)(queue_task*, void const*))
130       0.0228  server                   server                   tbb::internal::atomic_impl<unsigned long>::converter<unsigned long>::bits_type& tbb::internal::atomic_impl<unsigned long>::to_bits_ref<unsigned long>(unsigned long&)
129       0.0226  server                   server                   tbb::strict_ppl::concurrent_queue<queue_task, tbb::cache_aligned_allocator<queue_task> >::try_pop(queue_task&)
123       0.0216  server                   server                   __TBB_LockByte(unsigned char&)
117       0.0205  libc-2.17.so             libc-2.17.so             __epoll_wait_nocancel
116       0.0203  libdbus-1.so.3.7.4       libdbus-1.so.3.7.4       /usr/lib64/libdbus-1.so.3.7.4
113       0.0198  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_add
113       0.0198  server                   server                   __gthread_mutex_lock(pthread_mutex_t*)
113       0.0198  server                   server                   tbb::internal::atomic_impl<unsigned long>::compare_and_swap(unsigned long, unsigned long)
111       0.0195  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    epoll_nochangelist_add
110       0.0193  server                   server                   tbb::internal::atomic_impl<unsigned long>::ptr_converter<unsigned long*>::ptr_converter(unsigned long*)
109       0.0191  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    epoll_nochangelist_del
109       0.0191  libstdc++.so.6.0.19      libstdc++.so.6.0.19      /usr/lib64/libstdc++.so.6.0.19
108       0.0189  server                   server                   unsigned long tbb::internal::modulo_power_of_two<unsigned long, unsigned long>(unsigned long, unsigned long)
107       0.0188  server                   server                   tbb::internal::atomic_impl_with_arithmetic<unsigned long, unsigned long, char>::operator+=(unsigned long)
104       0.0182  server                   server                   tbb::internal::no_assign::no_assign()
104       0.0182  server                   server                   void tbb::internal::spin_wait_while_eq<tbb::atomic<unsigned long>, unsigned long>(tbb::atomic<unsigned long> const volatile&, unsigned long)
101       0.0177  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_changelist_remove_all_
100       0.0175  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_write
100       0.0175  server                   server                   std::mutex::lock()
98        0.0172  server                   server                   std::mutex::mutex()
98        0.0172  server                   server                   void tbb::internal::itt_hide_store_word<unsigned long>(unsigned long&, unsigned long)
97        0.0170  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_decrement_read_buckets_
97        0.0170  server                   server                   __gthread_active_p()
95        0.0167  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_get_read_max_
94        0.0165  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_mm_malloc_
94        0.0165  server                   server                   std::__mutex_base::__mutex_base()
93        0.0163  server                   server                   std::mutex::unlock()
76        0.0133  [vdso] (tgid:73882 range:0x7ffd3d9c7000-0x7ffd3d9c9000) server                   [vdso] (tgid:73882 range:0x7ffd3d9c7000-0x7ffd3d9c9000)
75        0.0131  libX11.so.6.3.0          libX11.so.6.3.0          /usr/lib64/libX11.so.6.3.0
73        0.0128  server                   server                   std::remove_reference<queue_task&>::type&& std::move<queue_task&>(queue_task&)
71        0.0124  libjemalloc.so.2         libjemalloc.so.2         je_arena_prof_promote
71        0.0124  server                   server                   __TBB_TryLockByte(unsigned char&)
71        0.0124  server                   server                   tbb::strict_ppl::concurrent_queue<queue_task, tbb::cache_aligned_allocator<queue_task> >::push(queue_task&&)
70        0.0123  libpthread-2.17.so       libpthread-2.17.so       __pthread_mutex_cond_lock
70        0.0123  opreport                 opreport                 /usr/bin/opreport
67        0.0117  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_mm_free_
63        0.0110  libgnome-shell.so        libgnome-shell.so        /usr/lib64/gnome-shell/libgnome-shell.so
63        0.0110  server                   server                   tbb::strict_ppl::internal::micro_queue<queue_task>::destroyer::destroyer(queue_task&)
62        0.0109  server                   server                   tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>::allocate_page()
61        0.0107  libjemalloc.so.2         libjemalloc.so.2         je_malloc_default
60        0.0105  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_del
60        0.0105  libjemalloc.so.2         libjemalloc.so.2         je_tcache_bin_flush_small
60        0.0105  server                   server                   tbb::internal::atomic_impl_with_arithmetic<unsigned long, unsigned long, char>::operator++(int)
58        0.0102  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_get_write_max_
58        0.0102  libxcb.so.1.1.0          libxcb.so.1.1.0          /usr/lib64/libxcb.so.1.1.0
57        0.0100  server                   server                   tbb::internal::atomic_backoff::pause()
