Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:14:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:18:57 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:58 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:59 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:00 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:01 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:02 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:03 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:04 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:07 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:08 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:10 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:11 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:12 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:13 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:14 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:15 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:16 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:19:17 PM       0      0.00      0.00      0.00      0.00      0.00    100.00


10:19:17 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0     14.28      0.00     34.30      0.02      0.00     51.40
